Place_ID,Area,Number_of_Ponds,Number_of_Canals,Flood_Alert,Traffic_Volume,No_of_Bends
1,Rural,23,2,No,2,12
2,Rural,32,3,Yes,3,7
3,Urban,12,6,No,6,15
4,Rural,27,2,No,2,9
5,Urban,10,3,No,3,10
6,Urban,7,5,Yes,5,22
7,Urban,13,4,Yes,4,10
8,Rural,44,3,No,3,11
9,Rural,24,1,Yes,1,5
10,Urban,11,5,No,5,9
11,Rural,32,3,No,3,12
12,Rural,27,5,No,5,7
13,Rural,22,7,Yes,7,15
14,Urban,10,5,Yes,5,9
15,Urban,23,3,No,3,10
16,Urban,10,5,No,5,22
17,Rural,12,8,Yes,8,10
18,Rural,27,9,No,9,11
19,Urban,10,3,No,3,5
20,Rural,7,2,No,2,9
21,Urban,13,5,Yes,5,12
22,Urban,44,3,Yes,3,7
23,Urban,24,6,No,6,15
24,Rural,11,7,Yes,7,9
25,Rural,32,3,No,3,10
26,Urban,11,6,No,6,22
27,Rural,22,8,No,8,10
28,Rural,10,2,Yes,2,11
29,Rural,23,4,Yes,4,5
30,Urban,17,5,No,5,9